Account,classification,rows,realized_trades,realized_rate,notional_usd,gross_pnl,fees,net_pnl,avg_net_per_row,avg_net_per_realized,median_net_realized,win_rate_realized,profit_factor,gross_win_sum,gross_loss_sum,pnl_per_1k_notional,avg_fee_bps
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1778.0,1051.0,0.5911136107986502,30262439.89,1113373.547515,3245.845752,1110127.701763,624.3687861434196,1057.8866538943862,89.66004,0.89058039961941,14.881391888329997,1191934.506461,-80095.63321800002,36.68335090621142,1.0725657824677137
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,1643.0,893.0,0.5435179549604382,5161529.02,1105304.859175,1525.7008649999998,1103779.15831,671.80715660986,1236.9463961858903,84.857067,0.9372900335946248,139.3467543936364,1112577.367757,-7984.235963,213.8473219918078,2.955908722179382
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,12437.0,6283.0,0.5051861381362065,40734967.95,620872.375844,5641.877452000001,615230.498392,49.467757368497224,98.28825057886363,7.407855,0.9552761419703963,10599.028371519604,617603.348195,-58.269808,15.103252300263561,1.385020717071658
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,5889.0,2464.0,0.41840719986415353,36284991.08,534058.2363300001,8096.03410723,525962.2022227701,89.31265108214808,215.10995787621755,0.715311,0.599025974025974,18.943621206240636,559569.619069,-29538.682861999998,14.495310225187744,2.231234972438086
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Greed,6723.0,4520.0,0.6723189052506322,16527882.25,478811.46818500006,1674.15906794,477137.30911706,70.97089232739253,105.63782464999998,3.9616515000000003,0.8853982300884956,18.365201170551714,504979.508502,-27496.541083999997,28.868629501342195,1.012930176181525
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,593.0,269.0,0.4536256323777403,5049640.49,453595.318176,567.269376,453028.0488,763.9596101180439,1684.7999184944235,90.15203,0.6988847583643123,74.56219737626468,459372.10303699994,-6160.924962,89.7149113282716,1.1233856689865063
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,3457.0,1535.0,0.44402661266994503,9064146.190000001,401309.434693,3042.88209898,398266.55259402003,115.20582950362164,260.4876051003257,46.930054,0.850814332247557,31.260156289094795,413062.168762,-13213.694933,43.93867268308257,3.3570532019188444
0x513b8629fe877bb581bf244e326a047b249c4ff1,Neutral,2517.0,1443.0,0.5733015494636472,69726062.55,381330.49405000004,13410.65881658,367919.83523342,146.17395122503774,258.2437467844768,32.659884,0.9667359667359667,12.73090789698417,404411.872068,-31766.145458,5.276647236025807,1.92333516709958
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,5981.0,2576.0,0.43069720782477844,225087033.35999998,367166.21692399995,37595.168435,329571.048489,55.10300091773951,135.0251166506211,5.551482,0.8354037267080745,7.792352791706386,399032.980032,-51208.279539999996,1.4641938434627206,1.6702502971315543
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,1396.0,599.0,0.4290830945558739,18227807.740000002,296781.72285799996,3607.1397079999997,293174.58314999996,210.01044638252145,492.7351142637729,52.196153,0.9532554257095158,312.5140410218929,296095.797425,-947.4639810000001,16.083918995186853,1.978921304992873
