previous_day_classification,rows,realized_trades,realized_rate,notional_usd,gross_pnl,fees,net_pnl,avg_net_per_row,avg_net_per_realized,median_net_realized,win_rate_realized,profit_factor,gross_win_sum,gross_loss_sum,pnl_per_1k_notional,avg_fee_bps
Extreme Fear,19504.0,10469.0,0.5367616899097621,128116151.39,1017820.639951,28530.552347306,989290.0876036941,50.72242040625995,95.74998500916993,10.708645,0.8266310058267266,3.186675526204823,1460822.385001,-458415.79193999997,7.7218217755557115,2.226928614211629
Fear,59865.0,27773.0,0.46392716946462875,464975696.36,3197100.4181279996,89125.6178802136,3107974.8002477856,51.916391885872976,113.49574239959675,5.175192,0.8159003348575955,5.54871488808558,3845086.000049999,-692968.7463860001,6.684166128634572,1.9167801366377117
Neutral,46765.0,23104.0,0.4940446915428205,192314528.61,909289.244375,39519.150703740095,869770.0936712597,18.598740375735265,38.501653496667245,3.356526,0.7893005540166205,2.120189757901032,1683641.769994,-794099.5676070001,4.522643712660371,2.054922786612866
Greed,43480.0,21405.0,0.4922953081876725,275478999.53999996,2591176.927435,61076.8307285011,2530100.096706499,58.18997462526446,119.62109293492175,6.626495,0.7999065638869423,5.569316209263546,3120855.5046349997,-560366.010363,9.184366506816518,2.217113857335345
Extreme Greed,41607.0,21657.0,0.5205133751532194,130301589.56000002,2581571.713547,27605.56890597,2553966.1446410296,61.383088053477294,118.55562599501314,8.079868,0.8889042803712426,6.521185301843535,3032596.870101,-465037.677927,19.600422015304765,2.118590341007195
