classification,rows,realized_trades,realized_rate,notional_usd,gross_pnl,fees,net_pnl,avg_net_per_row,avg_net_per_realized,median_net_realized,win_rate_realized,profit_factor,gross_win_sum,gross_loss_sum,pnl_per_1k_notional,avg_fee_bps
Extreme Fear,21400.0,10406.0,0.48626168224299066,114484261.44,739110.24849,23888.6339393869,715221.614550613,33.42157077339313,69.85200914674226,6.1279544999999995,0.7577359215837017,2.1381197000231116,1365547.457684,-638667.4505030001,6.247335708458522,2.086630392589525
Fear,61837.0,29808.0,0.48204149619160047,483324789.78999996,3357155.4416419994,92456.94867415482,3264698.492967845,52.79522766252963,111.04925609910092,6.010164,0.8536969940955448,6.5033094926926145,3911640.883388,-601484.6575859999,6.7546680036551106,1.9129361999893795
Neutral,37686.0,18159.0,0.4818500238815475,180242063.07999998,1292920.6755499998,39374.2683038708,1253546.4072461294,33.26292010948706,69.97400664127981,4.389699,0.8201993501844815,4.2363038360460195,1663284.2822039998,-392626.295605,6.954793935585091,2.1845216167102253
Greed,50309.0,25182.0,0.5005466218768013,288671163.5799999,2192601.267081,63107.2041831683,2129494.0628978317,42.328292410857536,85.8913139486538,4.638648,0.7617345723135573,3.030543240790042,3228105.41909,-1065190.351235,7.376885299136162,2.186127751748203
Extreme Greed,39992.0,20853.0,0.5214292858571714,124465164.57,2715171.310673,27030.66546515,2688140.6452078503,67.21695952210068,129.54996634158155,8.391439,0.887881839543471,10.898559862695482,2974424.487415,-272919.039294,21.597534173475687,2.1717454484983856
