month,classification,rows,realized_trades,realized_rate,notional_usd,gross_pnl,fees,net_pnl,avg_net_per_row,avg_net_per_realized,median_net_realized,win_rate_realized,profit_factor,gross_win_sum,gross_loss_sum,pnl_per_1k_notional,avg_fee_bps
2023-05,Greed,3.0,0.0,0.0,477.0,0.0,0.0,0.0,0.0,,,,inf,0.0,0.0,0.0,0.0
2023-12,Extreme Greed,9.0,0.0,0.0,50005.83,0.0,12.501455,-12.501455,-1.3890505555555555,,,,inf,0.0,0.0,-0.2499999500058293,2.4999995000582933
2023-12,Greed,332.0,171.0,0.5150602409638554,2818931.66,2016.006985,704.7327399999999,1311.2742450000005,3.9496212198795195,9.689459526315787,3.780338,0.6842105263157895,1.3738655272446008,6088.698475999999,-4431.800896999999,0.465167092770174,2.4999993791974364
2024-01,Extreme Greed,91.0,37.0,0.4065934065934066,1175366.0699999998,-990.4393639999998,279.8800989999999,-1270.319463,-13.95955453846154,-30.24344743243243,2.4093549999999997,0.5945945945945946,0.5743937910523845,1510.201163,-2629.2087180000003,-1.0807862294340351,2.381216423918039
2024-01,Greed,1806.0,856.0,0.4739756367663344,16614973.780000001,-3057.257806,3962.809491,-7020.067297,-3.8870804523809523,-5.979762683411216,-0.005549999999999999,0.4392523364485981,0.718921498529179,13092.167552,-18210.844409,-0.42251449746193936,2.385083204747615
2024-01,Neutral,303.0,146.0,0.48184818481848185,3025207.4699999997,-9038.238175,703.446419,-9741.684594,-32.150774237623764,-64.57839064383562,-1.639954,0.3493150684931507,0.3133384826078597,4302.403128,-13730.848162000002,-3.220170745512539,2.3252832275995936
2024-02,Extreme Greed,598.0,492.0,0.822742474916388,1689785.08,23290.461713,73.99156499999998,23216.470148,38.82352867558529,47.20762034552846,12.608208,0.9512195121951219,17.544513315135166,24630.007321000005,-1403.858111,13.739303549774506,0.4378755965817853
2024-02,Greed,1998.0,1124.0,0.5625625625625625,12490108.64,26572.211429000003,1567.8741,25004.337328999998,12.514683347847846,22.925449636120998,1.2047035,0.5800711743772242,2.967055833097972,38868.090486999994,-13099.885096000002,2.0019311320417783,1.2552926040841865
2024-03,Extreme Greed,1523.0,1273.0,0.8358502954694682,6762837.99,117262.576615,320.168064,116942.408551,76.78424724294156,91.95384632757265,25.922745000000003,0.969363707776905,45.300498715002135,119699.592393,-2642.3460179999997,17.291913354115405,0.4734226436792108
2024-03,Greed,88.0,75.0,0.8522727272727273,308298.06000000006,7720.1530760000005,48.767675,7671.385401,87.17483410227273,102.54106561333333,19.959038,1.0,inf,7690.579921,0.0,24.883015485079596,1.5818352862810745
2024-04,Extreme Greed,476.0,289.0,0.6071428571428571,2340368.59,20557.511097000002,637.8598509999999,19919.651246,41.848006819327736,70.00033912802769,13.013187,0.8858131487889274,6.357369801090859,24006.223002000002,-3776.1249940000002,8.511330792556912,2.725467491426212
2024-04,Greed,717.0,332.0,0.4630404463040446,3206542.1100000003,-12518.923483999999,1127.438667,-13646.362151000001,-19.03258319525802,-38.98135075000001,15.335895500000001,0.8734939759036144,0.6553564270909924,24609.474866,-37551.28331500001,-4.255787600119806,3.5160575733090864
2024-05,Extreme Greed,488.0,190.0,0.38934426229508196,1631762.28,8495.55484,543.5254499999999,7952.029389999999,16.295142192622947,43.76243452631578,1.903106,0.8263157894736842,13.136519124907213,8999.973544,-685.110984,4.8732768782962665,3.330910737806734
2024-05,Greed,722.0,263.0,0.36426592797783935,2121414.78,15277.867803000001,742.782395,14535.085407999999,20.13169724099723,56.77451309125475,7.0691250000000005,0.9619771863117871,174.3212361546522,15017.847361000002,-86.150418,6.8515999534989565,3.501353917219338
2024-05,Neutral,59.0,28.0,0.4745762711864407,432957.05,5557.621787,151.506714,5406.115073000001,91.62906903389832,194.60167425,50.32825700000001,0.9285714285714286,392.50210906223157,5462.764676,-13.917797,12.486492766430297,3.4993474294967593
2024-06,Extreme Greed,745.0,297.0,0.39865771812080536,1283907.51,9232.696108999999,424.66192299999994,8808.034186,11.822864679194632,30.208877717171717,2.560213,0.9797979797979798,2239.660013758271,8976.044452999999,-4.007771,6.860333877165343,3.3075741024367082
2024-06,Fear,154.0,35.0,0.22727272727272727,513681.14,11019.679250000001,541.935894,10477.743355999999,68.03729451948051,311.8495723714286,217.918782,1.0,inf,10914.735033,0.0,20.397368211727606,10.550044605492037
2024-06,Greed,1147.0,378.0,0.3295553618134263,3249481.7399999998,77777.00095300001,1010.194191,76766.806762,66.92834068177855,204.4040214285714,5.9534605,0.843915343915344,4.4993227020183335,99344.627179,-22079.907079,23.624323170377316,3.1087855597551384
2024-06,Neutral,141.0,29.0,0.20567375886524822,968308.4199999999,4954.608746999999,288.696352,4665.912395,33.091577269503546,166.08137875862064,96.380106,1.0,inf,4816.359983999999,0.0,4.818622144171792,2.981450393666927
2024-07,Fear,225.0,105.0,0.4666666666666667,1879641.4300000002,18999.765012,962.6686759999998,18037.096336,80.16487260444444,178.10197675238098,67.83921,1.0,inf,18700.707559000002,0.0,9.596030417354653,5.121554891456078
2024-07,Greed,2175.0,1130.0,0.5195402298850574,5253907.850000001,110958.15053900001,1813.6559069999998,109144.494632,50.18137684229885,97.39754356637168,5.6376479999999995,0.684070796460177,26.940715680234558,114301.945425,-4242.721195,20.773964399090097,3.452013165780971
2024-07,Neutral,126.0,45.0,0.35714285714285715,773963.1300000001,8604.479708,568.4062059999999,8036.073502000001,63.77836112698414,188.45346873333335,33.162997999999995,0.9333333333333333,1391.2314186763404,8486.506089000002,-6.099996000000001,10.383018506320838,7.344099272532527
2024-08,Extreme Fear,116.0,29.0,0.25,77777.73000000001,226.60583100000005,69.269274,157.33655700000003,1.356349629310345,7.803202724137932,-0.011512999999999999,0.4482758620689655,6.452935719961372,267.792154,-41.499275,2.022899832638469,8.90605498514806
2024-08,Fear,802.0,232.0,0.2892768079800499,2924094.86,-126306.593057,1282.2541247,-127588.8471817,-159.0883381317955,-546.5928614396553,1.6651194999999999,0.7025862068965517,0.07406307782320164,10143.137064999999,-136952.680919,-43.63362110000084,4.385131762449047
2024-08,Greed,76.0,19.0,0.25,523931.31,1013.6051090000001,190.073276,823.5318329999999,10.83594517105263,50.99735926315789,17.037198,1.0,inf,968.9498259999999,0.0,1.5718316834319368,3.627828159382191
2024-08,Neutral,268.0,65.0,0.24253731343283583,823179.8299999998,18249.151293000003,371.70657168,17877.444721319996,66.70688328850746,278.26710333846154,2.53678,0.7230769230769231,17.585954569206873,19177.884523,-1090.522806,21.71754466010179,4.5154965917957455
2024-09,Extreme Fear,42.0,38.0,0.9047619047619048,39047.1,-1104.856765,13.666476,-1118.523241,-26.63150573809524,-29.112539657894743,-25.157298,0.0,0.0,0.0,-1106.2765070000003,-28.645488166854904,3.4999976950913125
2024-09,Fear,56.0,15.0,0.26785714285714285,180404.27000000002,983.488566,120.594536,862.8940299999995,15.408821964285705,63.13705233333331,16.884536,0.6666666666666666,1.382053897175276,3425.9096640000002,-2478.8538790000002,4.783113115892431,6.684683017757839
2024-09,Greed,175.0,5.0,0.02857142857142857,422720.2299999999,2710.6262879999995,123.708684,2586.917604,14.78238630857143,533.9155846,389.731835,1.0,inf,2669.577923,0.0,6.119691986352299,2.9264907430619074
2024-09,Neutral,237.0,169.0,0.7130801687763713,695856.26,45646.492125,323.44706,45323.045065,191.23647706751055,268.9510425147929,-4.055886,0.20118343195266272,52.15718523027732,46341.217722999994,-888.4915380000002,65.13276903623745,4.648187831205255
2024-10,Extreme Greed,73.0,45.0,0.6164383561643836,908004.21,1223.1938340000002,316.30791600000003,906.885918,12.423094767123287,20.84395282222222,12.951355,0.9111111111111111,115.31555505776606,946.183041,-8.205164,0.9987684065914186,3.483551205120514
2024-10,Fear,56.0,21.0,0.375,1021818.8999999999,8985.703259,357.636212,8628.067047,154.07262583928573,420.63356190476196,383.957262,1.0,inf,8833.304800000002,0.0,8.443831922662618,3.4999960560525945
2024-10,Greed,433.0,133.0,0.3071593533487298,2634814.36,61909.59202,887.4133320000001,61022.17868800001,140.9288191408776,463.12311635338347,29.407834,0.9699248120300752,805.7056669250801,61671.918455,-76.54398,23.15995373882812,3.3680298144420315
2024-10,Neutral,159.0,77.0,0.48427672955974843,2202291.17,14145.432619,770.8014069999999,13374.631212,84.11717743396227,178.1962303116883,71.050261,0.948051948051948,1107.306195950489,13733.512367000001,-12.402633,6.073053097697341,3.499997718285362
2024-11,Extreme Greed,6469.0,3010.0,0.465296027206678,24605139.71,127134.30504600002,6974.071160450001,120160.23388554997,18.574777227631778,41.16654002458472,2.440748,0.7308970099667774,1.7613317771141603,286667.247065,-162755.96159099997,4.8835420282825925,2.8343960825451457
2024-11,Greed,69.0,37.0,0.5362318840579711,945401.76,6295.723632,326.12526299999996,5969.598369,86.51591839130435,165.36969821621622,96.565868,0.9459459459459459,1628.0126554139235,6122.439517,-3.7606829999999998,6.3143508099667605,3.4495944137019587
2024-12,Extreme Greed,19192.0,10197.0,0.5313151313047103,44640799.06,2014363.0914730001,7255.10727373,2007107.9841992701,104.58044936428044,197.15167754751397,9.014526,0.9168382857703246,61.163029584706955,2043770.789296,-33415.133344,44.96129160908595,1.6252189536255133
